material-id,composition,target
48601,Cu7Na5O13,0.08629186359999999
42862,Cr2Mn3O16Te3,0.13462518169272
12984,B1Li2Pt3,-0.048616657914372
36366,Cl3Li1O3Zn1,0.4141284504685221
16149,Ba1Ce2Fe1S5,0.010268995277801
83048,Pu1Te2,0.7544688570833321
33422,Cd4Ce23Ir7,-0.000472827077204
15640,B8Fe1Li8Mn7O24,0.004315772742344
35895,Cl2Cu1O4Pb2,0.23697310731176505
44049,Cs1I5Pb2,0.037676366190695004
18118,Ba2Er1Ga1Te5,0.010006473472249
54443,Fe1In1Li2O14P4,4.1186814269748716e-05
21701,Bi1Pr2,0.013774288333332002
77190,Nb1Tc2Zr1,-0.116100078124999
32848,Cd1O10V2,0.285729475769229
4438,Al1Ga1Tm1,0.005772333333331999
21778,Bi1Th1,0.012931449999999
83869,S3Sb1Tl3,-0.00016170571435000002
59692,Ge1P4Sr4,-0.020198198263862
64168,Ho2O5Pa2,0.8973669447221391
69669,Li1O12P3Sb2,0.033723363657451
24774,C16H48N2Ni1O14S8,0.30218371368445696
49327,Dy2O12Se3,-0.27690245613986497
68133,La1Li1O1S1,0.008386379999994
69518,Li1Na1O7P2Zn1,-0.00063109146009
36827,Cl5Cs2Yb1,0.046481918342501004
26794,C2H1,0.106629311701389
84770,Tb1Zn12,0.007399135576922002
51661,F1H3O4P1Rb1,-0.0044388996540260005
75726,N3O12Y1,0.538573220078155
24547,C10F3,0.322327108068907
3078,Al13Ba7,0.02140276105
59715,Ge1Pd2,-0.06481068692307701
32928,Cd1Pb1Pm2,-0.150808239305556
80685,O6S1Th1,0.17904363031248402
18338,Ba2In1Nd1Te5,-6.719694469027438e-05
13513,B2Ca1H10O9,0.007717035681828002
56654,Fe4Mg3O24W6,0.11503835090104599
65288,In1Na2O12Sc1Si4,0.002107672999977
43483,Cr5Cs1Te8,-0.032390377278418
3843,Al1Cl6Hg1Na2,0.26272438774988605
53846,F7Rb3Si1,0.003545396363522001
49601,Er18O55Ti14,0.068662112471331
1620,Ag1Nb2P1S10,0.0019011018526300001
5371,Al22O34Sr1,0.013654667105218002
63072,Hf6O18Pb1,0.408478573599997
21158,Bi1Fe1La1O6Zn1,0.10056098911234
50709,Eu1Li1Sb1,-0.100195070964899
19903,Ba8Nb4O24Ti3,0.018432445384557003
83926,S4Se1Zn5,0.008026922999998
4679,Al1K1O1,0.26749455711603903
80818,O7P2Sn1Zn1,0.031483854126882004
79731,O28P4Rb2U5,0.06719575660245601
72630,Mg1Pu2,0.746885672083333
19667,Ba5O13P3,0.018211586904807
78585,Ni3P1,-0.024073997708329003
53969,F9H16N3O6S1Zr2,0.001889795818768
26775,C2Fe2O7,0.07216169878787901
55506,Fe2Ga1O4,0.20164315321428797
19809,Ba6O42Ta9Ti7,-0.006809940157249001
36585,Cl4F6P1Sb1,0.094811335624832
6485,Al3H1N1Na2O12Si3,0.7301594904035411
21858,Bi2Ca10Fe15O48V5,0.068285223187814
33811,Ce1Fe4Pr1,0.07983549333333301
51865,F1N3O8P2Zr1,0.7727268030137581
22449,Bi3Nb1O7,0.128825947272753
13181,B1O3Tl3,-0.043378403214007
17584,Ba1Se32Sn32,0.034567418576947
30389,Ca1O10P2Sn2,0.06339101313256601
29437,Ca1Cu1O3,0.160617575124956
70161,Li2Mn1O11Si4,0.08545097738487899
5708,Al2Cu1,-0.034144589333333
78555,Ni3O14P4,0.058190159345137014
51535,F16I3K1,-0.041818837537510006
73800,Mn1Se1,-0.131953731249999
80404,O4Tl2W1,-0.084564488075722
40894,Co4Ga1Y4,-0.000119183055558
46922,Cu1Si1U1,0.138672155003549
2317,Ag2Nd1Tl1,0.017948284932756003
29273,Ca1Co1O4Sm1,0.038613372590754994
40415,Co3Fe1Nd2Si4,-0.0010931028232910001
73788,Mn1Sb2Se4,-0.025455987857143
49931,Er1Ni5,-0.026807156041663
78157,Ni1Pb1,0.087169355
22135,Bi2Mg3O12P2,0.159139528701113
64501,I1O2,0.010598547666666
69742,Li1O24P7Sn6,0.059503610153450015
26296,C1Sm2,-0.048293680833332006
18675,Ba2O7Ti2Tl1,0.483680536824025
31245,Ca2O6Sb1Sn1,0.07567201009963999
46934,Cu1Sn1Tb1,-0.072690111834949
4495,Al1Ge2Li1O6,0.018590257918082
13135,B1Ni1O4Sc1,0.010390434392478
31404,Ca3Fe1O12Sc1Si3,0.106522167188434
75785,N3Ta2Zr1,0.335600727222211
75854,N56O3Sr51W12,0.10415009710006301
46443,Cu1Na1O9P3,0.011016550803827001
16438,Ba1Cu2O8P2,0.01176366173095
6664,Al3Tc1,0.065365257380952
45743,Cu1Ge2Hf1,-0.01864327403243
80581,O6Os2Rb1,-0.119201662499891
56561,Fe4H14O13,0.074726733790322
83717,S128Zr63,0.028777859369524
54369,Fe1H5K1O10S2,0.086735518255869
34881,Ce4Ga1S9Sb1,0.018079860666636003
78245,Ni1Sb3Sm1,-0.021685185666657003
28802,C6N6Pt1Zn1,0.239117359872858
58261,Ga3O5,0.118697743984371
16852,Ba1Hg2In1,1.164807194512696
9562,As2Sb2Th3,0.040632078928573005
16775,Ba1H14O18P4Zn3,0.18739178688120905
5609,Al2Ca3O12Si2,0.21027654592161305
31296,Ca2S4Sn1,-0.002415845358323
4214,Al1Eu1Ga1,0.014002065833332002
57073,Fe8Ni3O16Zn1,0.31653016086768104
57973,Ga2La2O1S6Zn1,0.010337186164708
2271,Ag2Lu1Mg1,-0.052763674128583
21295,Bi1K1S2,-0.11994663874996901
33801,Ce1Fe1Si2,-0.029949444999982002
11629,Au2Sn1U1,0.08153009125
