formula,target
CaO,91.92
RbSb2,55.6
O2Si,1338.99
Te2Rb2Pt,5.86
Pb2S5Sb2,3.73
GaInO3,3148.53
Mo3RbSe3,1.51
K2PtTe2,6.78
Ca4N4Ti,76.82
HgO2Sr,32.81
In2S4Zn,303.88
InLiS2,4.28
Si,86.61
N4Si3,89.16
AlN,726.54
Al2Ge2O7,408.53
Sb2Mn2Sr,10.04
La2O7Sn2,692.97
MgO,275.7
HgIn2Se4,691.28
S12Sn5Tl4,4.01
Rb2S7Sb4,1.41
Ge4O9Pb,8.73
In6S7,52.67
O4Pb3,59.14
O2Ti,3.75
InS2Tl,17.61
Ba6Hf5S16,106.11
O4Rb2Zn3,300.56
BeS,34.6
BBaLiS3,4.07
O3SnSr,2715.68
P5Y,40.87
As2Na2,34.09
CaO3Si,869.7
Rb3S4Sb,1.49
As2Te3,254.35
Cu2Te3Zr,3.42
K3O7ScSi2,98.05
RuSi4P4,88.08
O2Sn,5140.15
O2Ti,26.3
I4P2,0.1
La2O7Zr2,18.17
O2V,27.91
SbKSn,1103.38
Ca3OSi,156.87
O2Si,133.76
GeCoS4Cu2,3.53
K2S2Pd,3.32
BaNaP,54.42
ScS2Cu,8.46
MgO3Si,648.97
Na2O3Zn2,624.78
GeLi4S4,12.05
KPZn,486.99
O2Zr,35.47
Al2S4Zn,14.94
B3Rb3S6,2.84
As2CdK4,58.92
InK2NaP2,386.14
MgTe,294.68
Mg2O4Si,530.9
Br3Ti,0.02
CdIn2Se4,6856.9
K2O9Si4,155.13
As6Ca5Ga2,28.33
In2Te4Zn,565.14
KLaO2,49.11
LaO2Rb,49.89
Ba2S3,1.98
AlO3Y,19.82
GaMgS4Sc,28.37
Al2Ca5Sb6,18.14
NY,75.63
Se2AlCu,1420.32
Se2Zn,3.14
BaO3Si,1215.93
CdGa2Se4,555.98
Ga2K6Se6,47.57
Ca2GeO4,196.6
K2Te3,10.31
MgO3Si,728.1
InS,13.36
SV,20.36
In2Na6S6,63.42
AlLaO3,0.22
K2Te2Zn,3.27
BCs3S3,2.98
KMo3Te3,1.79
BaGe2P2,24.85
CaO3Ti,42.88
Te,29.55
PbTe,265.8
