Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Loss
"['C', 'N', 'W', 'Mo']",[0.24999978 0.24999978 0.24999978 0.24999978],325.87274169921875,11.264017105102539,9999352832.0
"['C', 'N', 'W', 'Mo']",[0.25609237 0.25609237 0.25609237 0.23172197],327.37738037109375,11.349274635314941,9999348736.0
"['C', 'N', 'W', 'Mo']",[0.26182634 0.26187757 0.26185244 0.21444285],328.73663330078125,11.427136421203613,9999343616.0
"['C', 'N', 'W', 'Mo']",[0.26709306 0.2673209  0.2673603  0.19822487],330.01373291015625,11.500308990478516,9999340544.0
"['C', 'N', 'W', 'Mo']",[0.27187508 0.2723499  0.27270505 0.18306923],331.2031555175781,11.570871353149414,9999336448.0
"['C', 'N', 'W', 'Mo']",[0.2762063  0.27691782 0.2778943  0.16898084],332.27789306640625,11.63619613647461,9999332352.0
"['C', 'N', 'W', 'Mo']",[0.28001297 0.28113717 0.28290692 0.1559422 ],333.24560546875,11.698792457580566,9999331328.0
"['C', 'N', 'W', 'Mo']",[0.2832997  0.28504395 0.2877286  0.14392707],334.10552978515625,11.758440971374512,9999328256.0
"['C', 'N', 'W', 'Mo']",[0.2859628  0.2887542  0.29237306 0.13290927],334.87451171875,11.81401252746582,9999325184.0
"['C', 'N', 'W', 'Mo']",[0.28806442 0.2922291  0.29686108 0.12284482],335.54669189453125,11.86093807220459,9999323136.0
"['C', 'N', 'W', 'Mo']",[0.28959948 0.29551375 0.30120897 0.11367719],336.1451110839844,11.904995918273926,9999322112.0
"['C', 'N', 'W', 'Mo']",[0.2904477  0.2987046  0.30549935 0.10534774],336.6800537109375,11.945337295532227,9999320064.0
"['C', 'N', 'W', 'Mo']",[0.29047674 0.30193713 0.30978212 0.09780339],337.15936279296875,11.983613967895508,9999319040.0
"['C', 'N', 'W', 'Mo']",[0.2896728  0.30530182 0.3140508  0.090974  ],337.58331298828125,12.01893424987793,9999316992.0
"['C', 'N', 'W', 'Mo']",[0.2880827  0.30873668 0.31837323 0.08480678],337.959716796875,12.053019523620605,9999315968.0
"['C', 'N', 'W', 'Mo']",[0.2859025  0.31219095 0.3226787  0.07922739],338.29412841796875,12.086109161376953,9999315968.0
"['C', 'N', 'W', 'Mo']",[0.28314772 0.31570107 0.32696998 0.07418071],338.59906005859375,12.11915397644043,9999313920.0
"['C', 'N', 'W', 'Mo']",[0.27978647 0.31933066 0.33127126 0.06961098],338.8767395019531,12.152031898498535,9999313920.0
"['C', 'N', 'W', 'Mo']",[0.2757933  0.3232402  0.33550858 0.06545737],339.13604736328125,12.184795379638672,9999312896.0
"['C', 'N', 'W', 'Mo']",[0.2713485  0.32748672 0.33949038 0.06167385],339.3638916015625,12.215295791625977,9999312896.0
"['C', 'N', 'W', 'Mo']",[0.26662555 0.3320411  0.34311375 0.05821905],339.5748596191406,12.245882987976074,9999310848.0
"['C', 'N', 'W', 'Mo']",[0.261375   0.33718634 0.34637293 0.05506532],339.77423095703125,12.276480674743652,9999310848.0
"['C', 'N', 'W', 'Mo']",[0.25567046 0.34295082 0.3491978  0.05218043],339.96209716796875,12.306953430175781,9999310848.0
"['C', 'N', 'W', 'Mo']",[0.24971807 0.34926167 0.35148633 0.0495335 ],340.1393737792969,12.334221839904785,9999309824.0
"['C', 'N', 'W', 'Mo']",[0.24333222 0.35625803 0.35330322 0.04710605],340.32342529296875,12.364466667175293,9999309824.0
"['C', 'N', 'W', 'Mo']",[0.23652396 0.36415648 0.35444787 0.04487131],340.512451171875,12.396805763244629,9999309824.0
"['C', 'N', 'W', 'Mo']",[0.22949994 0.37308875 0.35460517 0.04280576],340.7196350097656,12.43221378326416,9999307776.0
"['C', 'N', 'W', 'Mo']",[0.2221529  0.3833025  0.35364878 0.04089538],340.9476013183594,12.472739219665527,9999307776.0
"['C', 'N', 'W', 'Mo']",[0.21462595 0.3948478  0.35140303 0.03912281],341.19873046875,12.5226411819458,9999306752.0
"['C', 'N', 'W', 'Mo']",[0.20710874 0.4076417  0.34777844 0.03747072],341.46429443359375,12.582086563110352,9999306752.0
"['C', 'N', 'W', 'Mo']",[0.19974221 0.42160472 0.34273115 0.03592156],341.732666015625,12.65278434753418,9999304704.0
"['C', 'N', 'W', 'Mo']",[0.19284649 0.43643707 0.3362598  0.03445625],341.98797607421875,12.737936019897461,9999304704.0
"['C', 'N', 'W', 'Mo']",[0.18651932 0.45187274 0.32854506 0.03306256],342.2633056640625,12.83729076385498,9999302656.0
"['C', 'N', 'W', 'Mo']",[0.18030983 0.46823058 0.31972206 0.03173712],342.580810546875,12.959939956665039,9999302656.0
"['C', 'N', 'W', 'Mo']",[0.17434743 0.48536664 0.30981734 0.03046826],342.89825439453125,13.127819061279297,9999301632.0
"['C', 'N', 'W', 'Mo']",[0.16869114 0.503043   0.29901743 0.02924801],343.15673828125,13.349247932434082,9999301632.0
"['C', 'N', 'W', 'Mo']",[0.16362174 0.52032846 0.28797424 0.02807527],343.3990173339844,13.633654594421387,9999299584.0
"['C', 'N', 'W', 'Mo']",[0.15914541 0.5372444  0.27666453 0.02694535],343.54034423828125,13.959056854248047,9999299584.0
"['C', 'N', 'W', 'Mo']",[0.15589653 0.55259633 0.26563543 0.0258714 ],343.59283447265625,14.293962478637695,9999299584.0
"['C', 'N', 'W', 'Mo']",[0.15408145 0.56576365 0.25528482 0.02486979],343.63519287109375,14.632238388061523,9999299584.0
"['C', 'N', 'W', 'Mo']",[0.15366693 0.57692677 0.24546619 0.02393978],343.70343017578125,14.970267295837402,9999298560.0
"['C', 'N', 'W', 'Mo']",[0.15477805 0.5856054  0.23651859 0.02309765],343.729736328125,15.259110450744629,9999298560.0
"['C', 'N', 'W', 'Mo']",[0.1574948  0.59127337 0.22887026 0.02236134],343.7744140625,15.467127799987793,9999298560.0
"['C', 'N', 'W', 'Mo']",[0.1617526  0.5939188  0.22259696 0.02173122],343.851806640625,15.580473899841309,9999298560.0
"['C', 'N', 'W', 'Mo']",[0.16748936 0.59364665 0.21766423 0.02119939],343.97613525390625,15.60151481628418,9999298560.0
"['C', 'N', 'W', 'Mo']",[0.17486139 0.5902786  0.2140957  0.0207639 ],344.16461181640625,15.514046669006348,9999298560.0
"['C', 'N', 'W', 'Mo']",[0.18371321 0.5843367  0.21154864 0.02040098],344.35809326171875,15.339529991149902,9999296512.0
"['C', 'N', 'W', 'Mo']",[0.19344847 0.5770564  0.20942278 0.02007201],344.50958251953125,15.126497268676758,9999296512.0
"['C', 'N', 'W', 'Mo']",[0.2036024  0.5693852  0.20726007 0.01975203],344.64251708984375,14.910602569580078,9999296512.0
"['C', 'N', 'W', 'Mo']",[0.21428606 0.5613306  0.2049453  0.01943772],344.7550964355469,14.702277183532715,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.22459279 0.5542318  0.2020697  0.01910534],344.794677734375,14.524078369140625,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.23401542 0.5487587  0.1984774  0.01874815],344.8199157714844,14.39344310760498,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.24214049 0.54532975 0.19416331 0.01836621],344.86309814453125,14.321907997131348,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.24923398 0.54358184 0.18921827 0.01796564],344.93194580078125,14.297170639038086,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.25521076 0.5435026  0.18373598 0.01755023],345.0188293457031,14.316618919372559,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.26020777 0.544842   0.1778257  0.01712417],345.1249084472656,14.378132820129395,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.26428208 0.5473948  0.17163068 0.01669216],345.23309326171875,14.474798202514648,9999295488.0
"['C', 'N', 'W', 'Mo']",[0.2675634  0.5508746  0.16530271 0.01625906],345.35284423828125,14.600173950195312,9999293440.0
"['C', 'N', 'W', 'Mo']",[0.27010655 0.55521333 0.15885481 0.01582496],345.47698974609375,14.759309768676758,9999293440.0
"['C', 'N', 'W', 'Mo']",[0.27210727 0.5601082  0.1523909  0.01539338],345.6134033203125,14.957053184509277,9999293440.0
"['C', 'N', 'W', 'Mo']",[0.27290815 0.56650007 0.14563781 0.01495365],345.8399658203125,15.245150566101074,9999292416.0
"['C', 'N', 'W', 'Mo']",[0.27296203 0.57394636 0.13858622 0.0145051 ],346.048583984375,15.601536750793457,9999292416.0
"['C', 'N', 'W', 'Mo']",[0.27302423 0.5813357  0.13158023 0.01405961],346.211181640625,15.990577697753906,9999292416.0
