Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Al', 'Si', 'W']",[0.24999978 0.24999978 0.24999978 0.24999978],93.56999206542969,5.526340007781982,100000.2421875,7.823488712310791,1.3972176313400269,100000.109375
"['Ca', 'Al', 'Si', 'W']",[0.24683589 0.24683589 0.24683589 0.2594914 ],96.25320434570312,5.613249778747559,100000.203125,7.7895965576171875,1.4109028577804565,100000.109375
"['Ca', 'Al', 'Si', 'W']",[0.24360706 0.24358882 0.24359585 0.2692074 ],98.8111343383789,5.70055627822876,100000.1640625,7.751724720001221,1.4266183376312256,100000.1015625
"['Ca', 'Al', 'Si', 'W']",[0.24031854 0.2402566  0.24027966 0.2791443 ],101.26742553710938,5.811151027679443,100000.125,7.711289405822754,1.444849967956543,100000.1015625
"['Ca', 'Al', 'Si', 'W']",[0.23696898 0.2368379  0.23688877 0.2893034 ],103.71026611328125,5.929156303405762,100000.0859375,7.6634745597839355,1.4640456438064575,100000.09375
"['Ca', 'Al', 'Si', 'W']",[0.23355009 0.2333825  0.2333972  0.29966924],106.10206604003906,6.072743892669678,100000.0546875,7.607451438903809,1.4828828573226929,100000.0859375
"['Ca', 'Al', 'Si', 'W']",[0.2300741  0.22984914 0.22982119 0.3102547 ],108.47359466552734,6.235458850860596,100000.015625,7.5450029373168945,1.5009952783584595,100000.0859375
"['Ca', 'Al', 'Si', 'W']",[0.22655287 0.22622667 0.22616832 0.32105118],110.79064178466797,6.402107238769531,99999.984375,7.479163646697998,1.5197573900222778,100000.078125
"['Ca', 'Al', 'Si', 'W']",[0.2230004  0.22250727 0.22243987 0.33205155],113.0237045288086,6.5688042640686035,99999.953125,7.408673286437988,1.5386930704116821,100000.0703125
"['Ca', 'Al', 'Si', 'W']",[0.21942346 0.21869059 0.21863876 0.34324628],115.16057586669922,6.734644889831543,99999.9140625,7.332547664642334,1.5581039190292358,100000.0625
"['Ca', 'Al', 'Si', 'W']",[0.21583131 0.21478    0.21476837 0.35461932],117.20767211914062,6.894965648651123,99999.8828125,7.254324436187744,1.5763550996780396,100000.0546875
"['Ca', 'Al', 'Si', 'W']",[0.21223427 0.21077648 0.21084164 0.36614662],119.15272521972656,7.058895587921143,99999.859375,7.175429344177246,1.5958847999572754,100000.046875
"['Ca', 'Al', 'Si', 'W']",[0.20864466 0.20668368 0.20687172 0.37779894],120.99164581298828,7.216091632843018,99999.828125,7.095621585845947,1.6133449077606201,100000.0390625
"['Ca', 'Al', 'Si', 'W']",[0.2050645  0.20250663 0.20287478 0.38955307],122.7679214477539,7.3645172119140625,99999.8046875,7.019421100616455,1.6279418468475342,100000.03125
"['Ca', 'Al', 'Si', 'W']",[0.20150205 0.19825462 0.19885644 0.4013859 ],124.458251953125,7.503095626831055,99999.78125,6.944997787475586,1.6410584449768066,100000.03125
"['Ca', 'Al', 'Si', 'W']",[0.19796614 0.19393985 0.19483235 0.41326067],126.03179168701172,7.632293224334717,99999.7578125,6.873391151428223,1.6519492864608765,100000.0234375
"['Ca', 'Al', 'Si', 'W']",[0.19447322 0.18957643 0.19079496 0.4251544 ],127.51107788085938,7.749248504638672,99999.734375,6.803241729736328,1.6602381467819214,100000.015625
"['Ca', 'Al', 'Si', 'W']",[0.19102843 0.18517801 0.1867519  0.43704066],128.89076232910156,7.85826301574707,99999.7109375,6.7353363037109375,1.6667728424072266,100000.0078125
"['Ca', 'Al', 'Si', 'W']",[0.18764001 0.18076122 0.18271556 0.44888216],130.17422485351562,7.966015815734863,99999.6953125,6.666616439819336,1.6733100414276123,100000.0
"['Ca', 'Al', 'Si', 'W']",[0.18431112 0.17633298 0.17868519 0.4606697 ],131.40066528320312,8.075522422790527,99999.671875,6.597550868988037,1.6770315170288086,99999.9921875
"['Ca', 'Al', 'Si', 'W']",[0.1810391  0.17189692 0.17466171 0.4724013 ],132.5945281982422,8.186656951904297,99999.65625,6.5258588790893555,1.673148274421692,99999.9921875
"['Ca', 'Al', 'Si', 'W']",[0.17781405 0.16745314 0.1706555  0.48407632],133.75595092773438,8.297684669494629,99999.640625,6.456523895263672,1.6662101745605469,99999.984375
"['Ca', 'Al', 'Si', 'W']",[0.1746337  0.1630231  0.16666494 0.4956773 ],134.900146484375,8.415034294128418,99999.625,6.38818883895874,1.6583236455917358,99999.9765625
"['Ca', 'Al', 'Si', 'W']",[0.17148188 0.15861432 0.1626891  0.50721365],136.0714874267578,8.53369426727295,99999.6015625,6.3188652992248535,1.6467424631118774,99999.96875
"['Ca', 'Al', 'Si', 'W']",[0.16834378 0.15422583 0.15871914 0.5187102 ],137.2657470703125,8.649337768554688,99999.5859375,6.248078346252441,1.631589412689209,99999.9609375
"['Ca', 'Al', 'Si', 'W']",[0.16520791 0.1498685  0.15475312 0.5301694 ],138.5150909423828,8.768808364868164,99999.5703125,6.1768269538879395,1.6144589185714722,99999.953125
"['Ca', 'Al', 'Si', 'W']",[0.16205674 0.14554228 0.15078595 0.54161406],139.80990600585938,8.890602111816406,99999.546875,6.1050920486450195,1.5958410501480103,99999.953125
"['Ca', 'Al', 'Si', 'W']",[0.15888306 0.14125584 0.14683206 0.5530279 ],141.14683532714844,9.004530906677246,99999.53125,6.034656524658203,1.5774013996124268,99999.9453125
"['Ca', 'Al', 'Si', 'W']",[0.1556748  0.1370097  0.14288518 0.5644292 ],142.52365112304688,9.133207321166992,99999.5078125,5.962640285491943,1.556984543800354,99999.9375
"['Ca', 'Al', 'Si', 'W']",[0.1524291  0.13281125 0.13895077 0.57580787],143.89292907714844,9.257649421691895,99999.484375,5.891530513763428,1.532104730606079,99999.9296875
"['Ca', 'Al', 'Si', 'W']",[0.14916725 0.12867536 0.13504145 0.58711493],145.2325897216797,9.364917755126953,99999.46875,5.824213981628418,1.5065116882324219,99999.921875
"['Ca', 'Al', 'Si', 'W']",[0.14588937 0.12460604 0.13116601 0.5983376 ],146.57403564453125,9.445568084716797,99999.4453125,5.757078647613525,1.478866457939148,99999.9140625
"['Ca', 'Al', 'Si', 'W']",[0.14260344 0.12060807 0.12733153 0.60945594],147.87637329101562,9.523259162902832,99999.4296875,5.691617012023926,1.451133131980896,99999.9140625
"['Ca', 'Al', 'Si', 'W']",[0.1393268  0.11669738 0.12354876 0.6204261 ],149.12461853027344,9.590906143188477,99999.40625,5.6264824867248535,1.4216779470443726,99999.90625
"['Ca', 'Al', 'Si', 'W']",[0.13606814 0.11288008 0.11982609 0.63122463],150.3174285888672,9.656240463256836,99999.390625,5.561774253845215,1.3929661512374878,99999.8984375
"['Ca', 'Al', 'Si', 'W']",[0.13283786 0.10916066 0.11616622 0.6418343 ],151.47006225585938,9.714067459106445,99999.375,5.495818138122559,1.364700436592102,99999.890625
