Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Al', 'Si']",[0.33333296 0.33333296 0.33333296],58.32490921020508,2.279656171798706,100000.765625,7.727591037750244,1.3359129428863525,100000.1015625
"['Ca', 'Al', 'Si']",[0.34425297 0.31149298 0.34425297],58.0202751159668,2.283902168273926,100000.7734375,7.554157733917236,1.3809022903442383,100000.0859375
"['Ca', 'Al', 'Si']",[0.35277706 0.29164454 0.3555773 ],57.82063293457031,2.287379503250122,100000.7734375,7.4343085289001465,1.4338418245315552,100000.0703125
"['Ca', 'Al', 'Si']",[0.3604324  0.2728158  0.36675078],57.63747787475586,2.2914223670959473,100000.78125,7.314399719238281,1.480776071548462,100000.0625
"['Ca', 'Al', 'Si']",[0.36815017 0.25453466 0.37731406],57.419647216796875,2.295389413833618,100000.78125,7.1734938621521,1.5076797008514404,100000.046875
"['Ca', 'Al', 'Si']",[0.37613174 0.23679654 0.3870707 ],57.161529541015625,2.3006601333618164,100000.7890625,7.016794204711914,1.5116783380508423,100000.03125
"['Ca', 'Al', 'Si']",[0.38408902 0.21972413 0.39618576],56.891761779785156,2.306398630142212,100000.7890625,6.855461597442627,1.5017693042755127,100000.015625
"['Ca', 'Al', 'Si']",[0.3916052  0.20345546 0.40493828],56.636314392089844,2.310544013977051,100000.796875,6.701595783233643,1.4898425340652466,100000.0078125
"['Ca', 'Al', 'Si']",[0.39823335 0.18816756 0.41359812],56.42955017089844,2.3147590160369873,100000.796875,6.565835475921631,1.4772095680236816,99999.9921875
"['Ca', 'Al', 'Si']",[0.40384936 0.173902   0.4222477 ],56.27652359008789,2.3199143409729004,100000.796875,6.444361209869385,1.4659929275512695,99999.984375
"['Ca', 'Al', 'Si']",[0.40809783 0.1607304  0.43117082],56.19816589355469,2.3250622749328613,100000.796875,6.340497970581055,1.4593273401260376,99999.96875
"['Ca', 'Al', 'Si']",[0.4110645  0.14859149 0.44034305],56.195091247558594,2.3302783966064453,100000.796875,6.252722263336182,1.4550890922546387,99999.9609375
"['Ca', 'Al', 'Si']",[0.4128583  0.13740003 0.44974083],56.26278305053711,2.3352649211883545,100000.796875,6.177361488342285,1.4516174793243408,99999.953125
"['Ca', 'Al', 'Si']",[0.41349882 0.12709396 0.45940635],56.40358352661133,2.34074330329895,100000.796875,6.117242813110352,1.4526135921478271,99999.953125
"['Ca', 'Al', 'Si']",[0.413065   0.11761795 0.46931624],56.61595153808594,2.347026824951172,100000.796875,6.072532653808594,1.4575347900390625,99999.9453125
"['Ca', 'Al', 'Si']",[0.41122514 0.10895621 0.4798178 ],56.93968200683594,2.3543405532836914,100000.7890625,6.0468621253967285,1.4679009914398193,99999.9453125
"['Ca', 'Al', 'Si']",[0.4075188  0.10112352 0.49135688],57.41688537597656,2.3639891147613525,100000.78125,6.047191143035889,1.4851667881011963,99999.9453125
"['Ca', 'Al', 'Si']",[0.40205675 0.0940209  0.5039216 ],58.02894592285156,2.379974842071533,100000.7734375,6.066019535064697,1.5114492177963257,99999.9453125
"['Ca', 'Al', 'Si']",[0.39419433 0.08763337 0.5181716 ],58.7700080871582,2.4056949615478516,100000.7578125,6.087011337280273,1.5493959188461304,99999.9453125
"['Ca', 'Al', 'Si']",[0.3825597  0.08201766 0.5354219 ],59.670318603515625,2.441340684890747,100000.75,6.079008102416992,1.5972179174423218,99999.9453125
"['Ca', 'Al', 'Si']",[0.3675316  0.07702109 0.5554466 ],60.67524337768555,2.4887468814849854,100000.734375,6.043502330780029,1.6380234956741333,99999.9453125
"['Ca', 'Al', 'Si']",[0.35037005 0.07240793 0.57722133],61.67061996459961,2.5473406314849854,100000.71875,6.035679817199707,1.671533226966858,99999.9453125
"['Ca', 'Al', 'Si']",[0.33235633 0.06806786 0.59957516],62.53126907348633,2.6112828254699707,100000.703125,6.051912307739258,1.7022124528884888,99999.9453125
"['Ca', 'Al', 'Si']",[0.31433624 0.0639696  0.62169343],63.25723648071289,2.6792948246002197,100000.6953125,6.055840969085693,1.7114174365997314,99999.9453125
"['Ca', 'Al', 'Si']",[0.29583013 0.06010979 0.6440595 ],63.984439849853516,2.754878282546997,100000.6796875,5.90876579284668,1.6710104942321777,99999.9296875
"['Ca', 'Al', 'Si']",[0.2770383  0.05644951 0.66651154],64.75241088867188,2.843471050262451,100000.671875,5.522158145904541,1.5347617864608765,99999.8984375
"['Ca', 'Al', 'Si']",[0.25772366 0.05291729 0.6893584 ],65.78441619873047,2.9816861152648926,100000.65625,5.353224277496338,1.4302599430084229,99999.8828125
"['Ca', 'Al', 'Si']",[0.23879164 0.0495137  0.71169406],67.26737976074219,3.156168222427368,100000.6328125,5.318990707397461,1.3803980350494385,99999.875
"['Ca', 'Al', 'Si']",[0.2202907  0.04623021 0.7334785 ],68.94107055664062,3.3931162357330322,100000.609375,5.297934532165527,1.3432942628860474,99999.875
"['Ca', 'Al', 'Si']",[0.20238173 0.04307176 0.7545459 ],70.86640930175781,3.7099852561950684,100000.578125,5.290951251983643,1.3106539249420166,99999.875
"['Ca', 'Al', 'Si']",[0.18521431 0.04004009 0.77474505],73.05976104736328,4.067185401916504,100000.546875,5.302650451660156,1.284367322921753,99999.875
"['Ca', 'Al', 'Si']",[0.16873784 0.03712656 0.79413503],75.51516723632812,4.425238609313965,100000.5078125,5.327811241149902,1.2564011812210083,99999.875
"['Ca', 'Al', 'Si']",[0.15317109 0.0343531  0.8124753 ],77.71061706542969,4.7538580894470215,100000.4765625,5.341341972351074,1.2288110256195068,99999.875
"['Ca', 'Al', 'Si']",[0.13866763 0.0317417  0.82959014],79.56684875488281,5.063502788543701,100000.453125,5.330186367034912,1.1998820304870605,99999.875
"['Ca', 'Al', 'Si']",[0.12532039 0.02930927 0.8453699 ],81.12057495117188,5.355669021606445,100000.4296875,5.29956579208374,1.1708641052246094,99999.875
"['Ca', 'Al', 'Si']",[0.11311553 0.02705366 0.8598303 ],82.4984359741211,5.628786087036133,100000.40625,5.256621837615967,1.1422713994979858,99999.8671875
"['Ca', 'Al', 'Si']",[0.1020332  0.02497379 0.87299263],83.68501281738281,5.884591579437256,100000.390625,5.211147308349609,1.1164852380752563,99999.8671875
"['Ca', 'Al', 'Si']",[0.0920473  0.02306775 0.88488454],84.72927856445312,6.116553783416748,100000.375,5.165443420410156,1.0941780805587769,99999.859375
"['Ca', 'Al', 'Si']",[0.08308651 0.02132618 0.89558697],85.68109130859375,6.326242446899414,100000.359375,5.122653961181641,1.0753247737884521,99999.859375
"['Ca', 'Al', 'Si']",[0.07507587 0.0197399  0.9051838 ],86.50497436523438,6.51471471786499,100000.34375,5.081237316131592,1.0585148334503174,99999.8515625
"['Ca', 'Al', 'Si']",[0.06794832 0.0182999  0.9137514 ],87.2197265625,6.681159019470215,100000.3359375,5.042788028717041,1.044162392616272,99999.8515625
