Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Ca', 'Si', 'Al', 'O']",[0.37967116 0.21184696 0.17065445 0.23782595],28.605209350585938,4.231346607208252,100001.2109375,1.730588436126709,0.43425074219703674,99999.5390625
"['Ca', 'Si', 'Al', 'O']",[0.3338231  0.22750449 0.18326743 0.25540358],34.52503967285156,4.465017795562744,100001.125,2.0322508811950684,0.47934216260910034,99999.5703125
"['Ca', 'Si', 'Al', 'O']",[0.2918178  0.24177627 0.19502182 0.27138278],42.73668670654297,4.790862083435059,100001.0,2.3335700035095215,0.5307897925376892,99999.6015625
"['Ca', 'Si', 'Al', 'O']",[0.25310126 0.25511518 0.2059098  0.28587246],51.911346435546875,4.973483085632324,100000.8671875,2.6836655139923096,0.6023063659667969,99999.6328125
"['Ca', 'Si', 'Al', 'O']",[0.21920632 0.26934886 0.20998749 0.30145618],59.23889923095703,5.158476829528809,100000.7578125,3.172199010848999,0.7248220443725586,99999.6796875
"['Ca', 'Si', 'Al', 'O']",[0.19175556 0.28579715 0.20345172 0.3189944 ],65.31163024902344,5.450101852416992,100000.6640625,3.765238046646118,0.8923863768577576,99999.734375
"['Ca', 'Si', 'Al', 'O']",[0.16912742 0.3033498  0.19030449 0.33721715],71.13282775878906,5.753187656402588,100000.578125,4.2294511795043945,1.012762427330017,99999.7734375
"['Ca', 'Si', 'Al', 'O']",[0.14988548 0.31847456 0.17418201 0.35745686],76.65257263183594,6.105016231536865,100000.4921875,4.545943260192871,1.0728789567947388,99999.8046875
"['Ca', 'Si', 'Al', 'O']",[0.13413449 0.32513043 0.15819824 0.38253582],82.2989501953125,6.486422061920166,100000.40625,4.7529802322387695,1.1091009378433228,99999.8203125
"['Ca', 'Si', 'Al', 'O']",[0.12112921 0.32231128 0.14335214 0.41320637],88.16605377197266,6.89515495300293,100000.3203125,4.8842363357543945,1.1354641914367676,99999.8359375
"['Ca', 'Si', 'Al', 'O']",[0.1099619  0.31159118 0.12955901 0.448887  ],93.78783416748047,7.358823776245117,100000.234375,4.950070381164551,1.1574451923370361,99999.84375
"['Ca', 'Si', 'Al', 'O']",[0.09995118 0.29516843 0.11665232 0.4882272 ],99.09834289550781,7.816850185394287,100000.15625,5.015843391418457,1.1877961158752441,99999.8515625
"['Ca', 'Si', 'Al', 'O']",[0.09063922 0.27540305 0.10457933 0.52937746],103.46605682373047,8.218475341796875,100000.09375,5.1490397453308105,1.2413913011550903,99999.859375
"['Ca', 'Si', 'Al', 'O']",[0.08191673 0.25523227 0.09360967 0.56924033],106.01630401611328,8.479033470153809,100000.0546875,5.34246826171875,1.3212263584136963,99999.875
"['Ca', 'Si', 'Al', 'O']",[0.0739242  0.23816133 0.0842069  0.60370666],107.12913513183594,8.662739753723145,100000.0390625,5.565211772918701,1.4049112796783447,99999.8984375
"['Ca', 'Si', 'Al', 'O']",[0.06685139 0.22529402 0.07665182 0.63120186],107.64376831054688,8.825955390930176,100000.03125,5.7873616218566895,1.4800201654434204,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.06074871 0.21716064 0.07091815 0.6511717 ],107.99885559082031,8.965746879577637,100000.0234375,5.992937088012695,1.5402941703796387,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.05557694 0.21342856 0.06680067 0.664193  ],108.34226989746094,9.080218315124512,100000.015625,6.151295185089111,1.5802443027496338,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.05120735 0.21327646 0.06398593 0.6715295 ],108.76235961914062,9.165156364440918,100000.015625,6.262557029724121,1.6043078899383545,99999.9609375
"['Ca', 'Si', 'Al', 'O']",[0.04750368 0.21623927 0.0622189  0.6740374 ],109.22161865234375,9.214763641357422,100000.0078125,6.334384441375732,1.6156280040740967,99999.96875
"['Ca', 'Si', 'Al', 'O']",[0.04434128 0.22205134 0.06131168 0.672295  ],109.71134185791016,9.234045028686523,100000.0,6.370108604431152,1.6147624254226685,99999.9765625
"['Ca', 'Si', 'Al', 'O']",[0.04161706 0.23059589 0.06112057 0.66666573],110.25401306152344,9.229169845581055,99999.9921875,6.37640905380249,1.6015262603759766,99999.9765625
"['Ca', 'Si', 'Al', 'O']",[0.0392448  0.24191444 0.06153271 0.65730727],110.85369110107422,9.204692840576172,99999.984375,6.352399826049805,1.5773851871490479,99999.96875
"['Ca', 'Si', 'Al', 'O']",[0.0371515  0.25621855 0.06246357 0.64416564],111.5440902709961,9.167936325073242,99999.96875,6.286950588226318,1.5343626737594604,99999.96875
"['Ca', 'Si', 'Al', 'O']",[0.03526845 0.2738615  0.06381861 0.62705076],112.28803253173828,9.12499713897705,99999.9609375,6.199556827545166,1.4774342775344849,99999.9609375
"['Ca', 'Si', 'Al', 'O']",[0.03352367 0.29445618 0.06542631 0.60659313],113.05802917480469,9.089422225952148,99999.9453125,6.110077857971191,1.4140671491622925,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.0318734  0.31785846 0.06711838 0.5831491 ],113.76260375976562,9.055787086486816,99999.9375,6.016847133636475,1.348130226135254,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.03026616 0.3428201  0.06866085 0.5582522 ],114.25871276855469,9.012642860412598,99999.9296875,5.953137397766113,1.2846227884292603,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.02868687 0.36814123 0.06989398 0.5332773 ],114.28771209716797,8.957517623901367,99999.9296875,5.953097343444824,1.2393933534622192,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.02717614 0.3898651  0.07071669 0.5122414 ],113.98119354248047,8.91478157043457,99999.9375,5.957435131072998,1.2126610279083252,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.02574891 0.40791425 0.07108913 0.49524704],113.5201187133789,8.880069732666016,99999.9453125,5.927781105041504,1.1882656812667847,99999.9296875
"['Ca', 'Si', 'Al', 'O']",[0.02441249 0.42232567 0.0709926  0.48226863],113.08861541748047,8.862065315246582,99999.9453125,5.8865485191345215,1.168404221534729,99999.9296875
"['Ca', 'Si', 'Al', 'O']",[0.02316547 0.4335388  0.07041957 0.47287554],112.77830505371094,8.849835395812988,99999.953125,5.849269866943359,1.1521141529083252,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.02201184 0.4414913  0.06941533 0.46708095],112.64964294433594,8.845973014831543,99999.953125,5.82000207901001,1.1387953758239746,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.02093635 0.44714794 0.06801288 0.46390218],112.6744384765625,8.849757194519043,99999.953125,5.800257205963135,1.1285425424575806,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.01993212 0.4509247  0.0662742  0.4628684 ],112.83760070800781,8.860076904296875,99999.953125,5.792882919311523,1.122167706489563,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.01899114 0.45324013 0.06426489 0.46350333],113.11424255371094,8.876243591308594,99999.9453125,5.7969560623168945,1.1191129684448242,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.0181059  0.45439547 0.06203192 0.46546614],113.48027038574219,8.897040367126465,99999.9453125,5.810911178588867,1.118857741355896,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.01727347 0.45451266 0.05964452 0.4685688 ],113.91522979736328,8.921557426452637,99999.9375,5.832823753356934,1.1206103563308716,99999.921875
"['Ca', 'Si', 'Al', 'O']",[0.01649742 0.45317125 0.05717858 0.47315222],114.42496490478516,8.951571464538574,99999.9296875,5.862618446350098,1.1243451833724976,99999.9296875
"['Ca', 'Si', 'Al', 'O']",[0.01577684 0.45031345 0.05470288 0.47920635],114.98899841308594,8.983057975769043,99999.921875,5.900677680969238,1.1306052207946777,99999.9296875
"['Ca', 'Si', 'Al', 'O']",[0.01510709 0.44611308 0.05227011 0.48650917],115.57129669189453,9.012378692626953,99999.9140625,5.943975925445557,1.1386096477508545,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.0144807  0.44093063 0.04989823 0.49468997],116.121826171875,9.041858673095703,99999.90625,5.987129211425781,1.1470012664794922,99999.9375
"['Ca', 'Si', 'Al', 'O']",[0.01388953 0.43539065 0.04760012 0.5031192 ],116.60481262207031,9.068490982055664,99999.8984375,6.028445243835449,1.155668020248413,99999.9453125
"['Ca', 'Si', 'Al', 'O']",[0.01332779 0.43016016 0.04539932 0.5111122 ],116.9986343383789,9.098026275634766,99999.890625,6.065670013427734,1.163163661956787,99999.9453125
"['Ca', 'Si', 'Al', 'O']",[0.01278814 0.42614913 0.04329544 0.51776683],117.2957534790039,9.124141693115234,99999.8828125,6.093774318695068,1.168147087097168,99999.9453125
"['Ca', 'Si', 'Al', 'O']",[0.0122733  0.42322478 0.04130996 0.5231916 ],117.52494812011719,9.14556884765625,99999.8828125,6.115975856781006,1.1717826128005981,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.01177724 0.4222505  0.03942982 0.52654195],117.69647216796875,9.162532806396484,99999.8828125,6.130741119384766,1.1729404926300049,99999.953125
"['Ca', 'Si', 'Al', 'O']",[0.01129849 0.42346597 0.03765025 0.52758485],117.83729553222656,9.174193382263184,99999.875,6.138121128082275,1.1711254119873047,99999.953125
