Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.19999985 0.19999985 0.19999985 0.19999985 0.19999985],56.06138610839844,4.4368815422058105,100000.8046875,7.212843894958496,1.0130891799926758,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.19796982 0.19796984 0.19796982 0.19796982 0.20811993],56.54816436767578,4.472235202789307,100000.796875,7.21696662902832,1.012634038925171,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.1959363  0.19586885 0.19586697 0.19586083 0.21646635],57.05931854248047,4.508168697357178,100000.7890625,7.218949317932129,1.0118932723999023,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.1939518  0.19367819 0.19366601 0.19366442 0.22503887],57.598594665527344,4.544676303863525,100000.78125,7.219268321990967,1.0110106468200684,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.1918579  0.19144875 0.19141242 0.1914091  0.23387107],58.133487701416016,4.583542346954346,100000.7734375,7.217956066131592,1.0097402334213257,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.18966502 0.18915117 0.1891154  0.18910107 0.24296655],58.676029205322266,4.625661849975586,100000.765625,7.215237617492676,1.008088231086731,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.1873736  0.18678187 0.18676797 0.18674465 0.25233123],59.212520599365234,4.671514511108398,100000.7578125,7.211017608642578,1.006150722503662,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.18497705 0.18435065 0.18437877 0.18433788 0.2619549 ],59.758419036865234,4.72235107421875,100000.75,7.2058916091918945,1.0043026208877563,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.1824863  0.18183206 0.18194984 0.18188825 0.27184278],60.33464813232422,4.778253555297852,100000.734375,7.199763298034668,1.00260591506958,100000.0546875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.17991927 0.17922677 0.17944224 0.17938623 0.28202474],60.996002197265625,4.838561534881592,100000.7265625,7.191319942474365,1.0005940198898315,100000.046875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.17726336 0.17656936 0.17684728 0.17680435 0.29251486],61.71834182739258,4.905449390411377,100000.71875,7.180439472198486,0.9983646273612976,100000.046875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.17451143 0.1738561  0.17417094 0.17414904 0.30331168],62.4909553527832,4.974231243133545,100000.703125,7.166651248931885,0.9961410164833069,100000.046875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.17167243 0.17108165 0.17140137 0.17140374 0.31444   ],63.377925872802734,5.0457048416137695,100000.6953125,7.147789478302002,0.9936646223068237,100000.046875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.16874203 0.16826889 0.16852674 0.1685658  0.32589573],64.36222839355469,5.118333339691162,100000.6796875,7.124680995941162,0.9911230206489563,100000.046875
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.1657207  0.16538942 0.16555525 0.16564669 0.3376871 ],65.40475463867188,5.1840972900390625,100000.6640625,7.098715782165527,0.9885298609733582,100000.0390625
"['Li', 'Be', 'Na', 'Mg', 'O']",[0.16261345 0.16241385 0.16249791 0.16265371 0.34982023],66.49656677246094,5.241774082183838,100000.6484375,7.0700907707214355,0.9861076474189758,100000.0390625
