Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Prop0 Loss,aflow__agl_thermal_conductivity_300K,aflow__agl_thermal_conductivity_300K UNC,Prop1 Loss
"['Li', 'Be', 'Na', 'Mg']",[0.24999978 0.24999978 0.24999978 0.24999978],34.74134826660156,3.2125186920166016,100001.125,4.993049144744873,0.792083203792572,99999.84375
"['Li', 'Be', 'Na', 'Mg']",[0.25624847 0.24375111 0.24375111 0.25624847],34.93451690673828,3.1788747310638428,100001.1171875,4.9377336502075195,0.7923818826675415,99999.84375
"['Li', 'Be', 'Na', 'Mg']",[0.2625966  0.23759152 0.23760493 0.2622061 ],35.13099670410156,3.143930673599243,100001.1171875,4.867395401000977,0.7899702787399292,99999.8359375
"['Li', 'Be', 'Na', 'Mg']",[0.26901162 0.23148592 0.23153313 0.26796842],35.331581115722656,3.1095240116119385,100001.109375,4.783496379852295,0.7838187217712402,99999.828125
"['Li', 'Be', 'Na', 'Mg']",[0.27539358 0.22534773 0.22543101 0.27382678],35.52967834472656,3.0759682655334473,100001.109375,4.688261032104492,0.7759058475494385,99999.8203125
"['Li', 'Be', 'Na', 'Mg']",[0.28174976 0.21919248 0.21930298 0.27975395],35.72294616699219,3.043030023574829,100001.109375,4.581676483154297,0.7662351727485657,99999.8046875
"['Li', 'Be', 'Na', 'Mg']",[0.2880752  0.21302834 0.21315446 0.2857411 ],35.9022216796875,3.011353015899658,100001.1015625,4.465023517608643,0.7547332644462585,99999.796875
"['Li', 'Be', 'Na', 'Mg']",[0.29436272 0.2068693  0.20699927 0.29176784],36.066192626953125,2.981457233428955,100001.1015625,4.342203140258789,0.7414333820343018,99999.7890625
"['Li', 'Be', 'Na', 'Mg']",[0.30060112 0.20072937 0.20085232 0.29781637],36.21331787109375,2.953275680541992,100001.1015625,4.215945243835449,0.7266911268234253,99999.7734375
"['Li', 'Be', 'Na', 'Mg']",[0.30676758 0.19462615 0.19472812 0.30387726],36.33992004394531,2.926809310913086,100001.09375,4.086663722991943,0.7111399173736572,99999.7578125
"['Li', 'Be', 'Na', 'Mg']",[0.31283876 0.18857445 0.18864675 0.30993915],36.44683837890625,2.9013869762420654,100001.09375,3.9558112621307373,0.6943016052246094,99999.75
"['Li', 'Be', 'Na', 'Mg']",[0.31878895 0.18259558 0.18261708 0.31599748],36.53300476074219,2.8774938583374023,100001.09375,3.8265721797943115,0.6779419779777527,99999.734375
"['Li', 'Be', 'Na', 'Mg']",[0.32457677 0.17671089 0.1766617  0.32204983],36.59435272216797,2.8555896282196045,100001.09375,3.698192834854126,0.6615117192268372,99999.7265625
"['Li', 'Be', 'Na', 'Mg']",[0.33015668 0.1709256  0.17079656 0.3281203 ],36.63751983642578,2.8355584144592285,100001.09375,3.5720131397247314,0.6450306177139282,99999.7109375
"['Li', 'Be', 'Na', 'Mg']",[0.33549675 0.16526982 0.16504103 0.3341916 ],36.66626739501953,2.8175101280212402,100001.09375,3.4505538940429688,0.6292892098426819,99999.703125
"['Li', 'Be', 'Na', 'Mg']",[0.34057608 0.1597539  0.15941025 0.3402589 ],36.682762145996094,2.8017756938934326,100001.09375,3.3377861976623535,0.6145099401473999,99999.6953125
"['Li', 'Be', 'Na', 'Mg']",[0.34536922 0.15439954 0.15392286 0.34630752],36.68896484375,2.788095712661743,100001.09375,3.2313618659973145,0.6010156273841858,99999.6796875
