Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Loss
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.09999997 0.09999997 0.09999997 0.09999997 0.09999997 0.09999997
 0.09999997 0.09999997 0.09999997 0.09999997]",297.26495361328125,9.77086067199707,99997.1875
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.08658143 0.10575079 0.10575078 0.10575078 0.10575076 0.08658143
 0.08658143 0.10575072 0.10575078 0.10575078]",298.3726806640625,9.83798885345459,99997.171875
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.07564908 0.1127101  0.11263049 0.11269418 0.10792122 0.07561215
 0.0756033  0.10195503 0.11262523 0.11259896]",299.3424072265625,9.904873847961426,99997.15625
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.06661168 0.12086138 0.12055675 0.1208206  0.10349993 0.06650506
 0.06648121 0.09361052 0.12058932 0.12046323]",300.24664306640625,9.971226692199707,99997.1484375
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.05868513 0.12942813 0.12857468 0.1293392  0.09560955 0.05848506
 0.058449   0.08428337 0.12874126 0.12840436]",301.0912780761719,10.0342435836792,99997.1328125
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.0516137  0.13806546 0.1362064  0.1379076  0.08631951 0.0513135
 0.0512685  0.07491662 0.13657245 0.13581586]",301.90142822265625,10.094374656677246,99997.125
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.04528771 0.14659892 0.14300026 0.14637047 0.07676371 0.04489124
 0.04484896 0.06594001 0.14408627 0.14221217]",302.651611328125,10.154159545898438,99997.109375
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.03969394 0.15510447 0.14846443 0.15478082 0.06757947 0.03921232
 0.03917914 0.05761897 0.15118754 0.1471786 ]",303.34417724609375,10.216050148010254,99997.1015625
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.03481781 0.16377448 0.15186068 0.16339216 0.05912708 0.03426676
 0.03424532 0.05012802 0.15805365 0.15033366]",303.98846435546875,10.278816223144531,99997.09375
"['Ta', 'W', 'Re', 'Os', 'Ir', 'Mo', 'Tc', 'B', 'C', 'N']","[0.03063409 0.17306264 0.1521594  0.17259686 0.05159577 0.03003075
 0.03001996 0.04355647 0.16450961 0.15183406]",304.5932922363281,10.341548919677734,99997.078125
