Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Loss
"['Ti', 'Cd', 'C']",[0.33333296 0.33333296 0.33333296],128.0257568359375,6.510351657867432,99999.7265625
"['Ti', 'Cd', 'C']",[0.3220431  0.3220431  0.35591266],130.58433532714844,6.961203575134277,99999.6875
"['Ti', 'Cd', 'C']",[0.31067723 0.31036264 0.37895888],132.65036010742188,7.568905830383301,99999.65625
"['Ti', 'Cd', 'C']",[0.30198768 0.29750964 0.4005014 ],133.5418701171875,8.356093406677246,99999.640625
"['Ti', 'Cd', 'C']",[0.3002973  0.2837406  0.41596082],133.0540313720703,9.200340270996094,99999.6484375
"['Ti', 'Cd', 'C']",[0.30547774 0.27428505 0.4202359 ],132.54666137695312,9.541556358337402,99999.65625
"['Ti', 'Cd', 'C']",[0.31410193 0.27039722 0.4154996 ],133.30332946777344,9.28647232055664,99999.6484375
"['Ti', 'Cd', 'C']",[0.3245285  0.2692722  0.40619808],134.32061767578125,8.751187324523926,99999.6328125
"['Ti', 'Cd', 'C']",[0.33583426 0.26839882 0.39576563],134.90576171875,8.156357765197754,99999.625
"['Ti', 'Cd', 'C']",[0.3473886 0.2666991 0.3859111],134.98785400390625,7.657207489013672,99999.6171875
"['Ti', 'Cd', 'C']",[0.35783163 0.2634339  0.37873328],134.83349609375,7.343386650085449,99999.625
"['Ti', 'Cd', 'C']",[0.36676344 0.25865737 0.37457803],134.84930419921875,7.169619560241699,99999.625
"['Ti', 'Cd', 'C']",[0.37434065 0.25249594 0.37316218],135.17559814453125,7.108981609344482,99999.6171875
"['Ti', 'Cd', 'C']",[0.38078475 0.24514776 0.37406623],135.80258178710938,7.1409478187561035,99999.609375
"['Ti', 'Cd', 'C']",[0.38670656 0.23678638 0.37650588],136.66368103027344,7.23401403427124,99999.59375
"['Ti', 'Cd', 'C']",[0.39242852 0.22761329 0.37995705],137.76808166503906,7.365191459655762,99999.578125
"['Ti', 'Cd', 'C']",[0.3991223  0.21759766 0.38327894],139.05967712402344,7.515708923339844,99999.5625
"['Ti', 'Cd', 'C']",[0.40692633 0.20700191 0.3860706 ],140.54144287109375,7.65452766418457,99999.5390625
"['Ti', 'Cd', 'C']",[0.4160532  0.19607681 0.38786888],142.1094970703125,7.742606163024902,99999.515625
"['Ti', 'Cd', 'C']",[0.42638358 0.18511494 0.38850036],143.6715087890625,7.753024101257324,99999.4921875
"['Ti', 'Cd', 'C']",[0.43755147 0.17432758 0.38811985],145.01626586914062,7.695496559143066,99999.46875
"['Ti', 'Cd', 'C']",[0.44838384 0.16395248 0.38766268],145.99603271484375,7.624936580657959,99999.453125
"['Ti', 'Cd', 'C']",[0.4576638 0.1541867 0.3881485],146.73385620117188,7.599038600921631,99999.4453125
