Elements,Fractions,aflow__ael_bulk_modulus_vrh,aflow__ael_bulk_modulus_vrh UNC,Loss
"['W', 'C', 'Mo']",[0.33333296 0.33333296 0.33333296],325.5546569824219,11.717117309570312,99996.765625
"['W', 'C', 'Mo']",[0.34425294 0.34425294 0.31149292],327.54302978515625,11.834149360656738,99996.734375
"['W', 'C', 'Mo']",[0.35484368 0.35454476 0.29061046],329.2492370605469,11.92757511138916,99996.7109375
"['W', 'C', 'Mo']",[0.36501008 0.36417785 0.27081093],330.72613525390625,11.995635986328125,99996.6875
"['W', 'C', 'Mo']",[0.37485066 0.37300453 0.25214368],331.9686279296875,12.05295181274414,99996.671875
"['W', 'C', 'Mo']",[0.38431036 0.38096392 0.23472458],333.02630615234375,12.111016273498535,99996.65625
"['W', 'C', 'Mo']",[0.39338967 0.38810882 0.21850044],333.91912841796875,12.179418563842773,99996.640625
"['W', 'C', 'Mo']",[0.40206587 0.3944004  0.20353274],334.650390625,12.254436492919922,99996.6328125
"['W', 'C', 'Mo']",[0.41044316 0.39970315 0.18985277],335.1968994140625,12.324414253234863,99996.625
"['W', 'C', 'Mo']",[0.4185902  0.4039257  0.17748317],335.6131591796875,12.393096923828125,99996.6171875
"['W', 'C', 'Mo']",[0.42678005 0.4068182  0.16640073],335.9098205566406,12.46337604522705,99996.609375
"['W', 'C', 'Mo']",[0.43528584 0.40814948 0.15656385],336.12066650390625,12.533624649047852,99996.609375
"['W', 'C', 'Mo']",[0.4439709  0.408136   0.14789219],336.2540283203125,12.604104042053223,99996.609375
"['W', 'C', 'Mo']",[0.4528915  0.40678582 0.14032185],336.3292236328125,12.672703742980957,99996.609375
"['W', 'C', 'Mo']",[0.46174678 0.4044934  0.1337589 ],336.3660888671875,12.740392684936523,99996.609375
"['W', 'C', 'Mo']",[0.47063324 0.40127072 0.12809524],336.37713623046875,12.81119441986084,99996.609375
"['W', 'C', 'Mo']",[0.4793067  0.39745492 0.12323754],336.3671875,12.882826805114746,99996.609375
"['W', 'C', 'Mo']",[0.48756677 0.39334944 0.11908302],336.3499450683594,12.953529357910156,99996.609375
"['W', 'C', 'Mo']",[0.495466   0.38898784 0.11554546],336.3328857421875,13.023736953735352,99996.609375
"['W', 'C', 'Mo']",[0.5030153  0.38441962 0.11256427],336.313720703125,13.091893196105957,99996.609375
"['W', 'C', 'Mo']",[0.5102284  0.37969258 0.1100783 ],336.29376220703125,13.159114837646484,99996.609375
"['W', 'C', 'Mo']",[0.516884   0.3750675  0.10804772],336.27325439453125,13.223684310913086,99996.609375
"['W', 'C', 'Mo']",[0.52316535 0.37042105 0.10641281],336.2558288574219,13.289350509643555,99996.609375
"['W', 'C', 'Mo']",[0.52881354 0.3660461  0.10513953],336.23016357421875,13.349803924560547,99996.609375
"['W', 'C', 'Mo']",[0.53368264 0.36210832 0.10420824],336.2084045410156,13.402323722839355,99996.609375
